,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
34,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Brightwing
3.9",Remote,-1,51 to 200 Employees,1973.0,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,74,166,120.0,Brightwing,Remote,47.0,data scientist,na,0,74,166
35,Data Scientist - Relocation Available,$74K - $166K (Glassdoor est.),Data Science,-1.0,Masis Professional Group,"Bellevue, WA",-1,201 to 500 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Masis Professional Group,WA,-1.0,data scientist,na,0,74,166
36,Senior Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.5,"Moldable Business Associates
4.5",Remote,-1,1 to 50 Employees,-1.0,Self-employed,-1,-1,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Moldable Business Associates,Remote,-1.0,data scientist,senior,0,74,166
37,Data Scientist - Full Remote,$74K - $166K (Glassdoor est.),Data Science,3.9,"Vaco
3.9",Remote,-1,501 to 1000 Employees,2002.0,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),-1,0,0,74,166,120.0,Vaco,Remote,18.0,data scientist,na,0,74,166
38,Sr. Data Scientist - Data Analytics,$74K - $166K (Glassdoor est.),Data Science,5.0,"Lucas James Talent Partners
5.0",Remote,-1,1 to 50 Employees,2018.0,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Lucas James Talent Partners,Remote,2.0,data scientist,senior,0,74,166
39,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.1,"MAKE Corporation
4.1",Remote,-1,51 to 200 Employees,-1.0,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),-1,0,0,74,166,120.0,MAKE Corporation,Remote,-1.0,data scientist,na,0,74,166
40,"data scientist (multiple openings) - Seattle, WA",$74K - $166K (Glassdoor est.),Data Science,3.8,"Starbucks
3.8","Seattle, WA",-1,10000+ Employees,1971.0,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD),-1,0,0,74,166,120.0,Starbucks,WA,49.0,data scientist,na,0,74,166
41,Junior Data Scientist Apprentice,$74K - $166K (Glassdoor est.),Data Science,4.0,"IBM
4.0","San Jose, CA",-1,10000+ Employees,1911.0,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1,0,0,74,166,120.0,IBM,CA,109.0,data scientist,jr,0,74,166
42,Junior Data Scientist (NYC or Remote),$74K - $166K (Glassdoor est.),Data Science,-1.0,ViacomCBS,"New York, NY",-1,10000+ Employees,2019.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),-1,0,0,74,166,120.0,ViacomCBS,NY,1.0,data scientist,jr,0,74,166
43,"Data Scientist, Game Analytics & Strategy",$74K - $166K (Glassdoor est.),Data Science,3.8,"the NBA
3.8","New York, NY",-1,1001 to 5000 Employees,1946.0,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1,0,0,74,166,120.0,the NBA,NY,74.0,data scientist,na,0,74,166
44,"Data Scientist, Spotify Advertising",$74K - $166K (Glassdoor est.),Data Science,4.2,"Spotify
4.2","New York, NY",-1,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Spotify,NY,14.0,data scientist,na,0,74,166
