,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
72,"Data Scientist, Demand Forecasting",$90K - $115K (Employer est.),Data Science,1.0,"Wonder
1.0","New York, NY",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
73,Predictive Modeler,$90K - $115K (Employer est.),Data Science,3.3,"Lancer Insurance Company
3.3",Remote,-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
74,"2022474 Data Scientist $215,000.00",$90K - $115K (Employer est.),Data Science,5.0,"B4CORP
5.0","Chantilly, VA",-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
75,Senior Data Scientist (remote),$90K - $115K (Employer est.),Data Science,3.8,"Liberty Mutual Insurance
3.8",Remote,-1,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
76,Arity-Data Scientist Researcher (Remote-Home Based Worker),$90K - $115K (Employer est.),Data Science,3.5,"Allstate
3.5","Northbrook, IL",-1,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1
77,Principal Data Scientist,$90K - $115K (Employer est.),Data Science,3.8,"Verizon
3.8","Newport Beach, CA",-1,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
78,"Data Analyst / Sr Analyst - Strategy, Analytics & Insights",$90K - $115K (Employer est.),Data Science,4.0,"Uber
4.0","New York, NY",-1,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
79,Snr Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1,Engtal,Remote,-1,-1,-1,-1,-1,-1,-1,-1
80,Senior Machine Learning Data Scientist - Hybrid Remote,$90K - $115K (Employer est.),Data Science,3.3,"CaaStle
3.3","Mountain View, CA",-1,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
81,Lead Data Scientist - Remote,$90K - $115K (Employer est.),Data Science,3.7,"Stanley, Black and Decker
3.7","New Britain, CT",-1,10000+ Employees,1843,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
82,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1,TikTok,"Mountain View, CA",-1,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
83,Data Scientist (People Products),$90K - $115K (Employer est.),Data Science,-1,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
84,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,-1,"Microvast, Inc","Lake Mary, FL",-1,-1,-1,-1,-1,-1,-1,-1
85,Sr. Data Scientist,$95K - $115K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1
86,"Sr Data Analyst, AMERICAS",$95K - $115K (Employer est.),Data Science,-1,Smart AdServer,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
87,Data Scientist,$95K - $115K (Employer est.),Data Science,3.4,"Praescient Analytics
3.4","Washington, DC",-1,51 to 200 Employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
88,Principal OR Sr Principal Data Scientist,$95K - $115K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","San Diego, CA",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
89,Data Scientist,$95K - $115K (Employer est.),Data Science,4.3,"Conversion Logix
4.3","Seattle, WA",-1,1 to 50 Employees,-1,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
90,Clinical Data Scientist,$95K - $115K (Employer est.),Data Science,-1,"Vivante Health, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1
91,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1
92,Senior Data Analyst,$95K - $115K (Employer est.),Data Science,3.8,"Lendistry
3.8",Remote,-1,1001 to 5000 Employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
93,Mathematical Statistician,$95K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
94,Data Scientist,$95K - $115K (Employer est.),Data Science,-1,"Verinovum, Inc.","Nashville, TN",-1,-1,-1,-1,-1,-1,-1,-1
